,rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,isbns,buy_links,book_uri,bestsellers_date,display_name,list_name,list_name_encoded,published_date,updated
0,1,0,1,0,0,1250272939,9781250272935,St. Martin's,Threats put in rhymes and sent from shifting locations escalate as the daughter of a successful fitness celebrity’s own yoga business grows.,0.00,LEGACY,Nora Roberts,by Nora Roberts,,https://storage.googleapis.com/du-prd/books/images/9781250272935.jpg,329,500,https://www.amazon.com/dp/1250272939?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1250272939', 'isbn13': '9781250272935'}, {'isbn10': '1250272947', 'isbn13': '9781250272942'}, {'isbn10': '1250802350', 'isbn13': '9781250802354'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1250272939?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=LEGACY&author=Nora+Roberts'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250272935'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FLEGACY%252FNora%252BRoberts%252F9781250272935&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DLEGACY%252BNora%252BRoberts'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781250272935&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DLEGACY'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781250272935%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DLEGACY%2BNora%2BRoberts%26aff%3DNYT'}]",nyt://book/e16ca793-6972-5d15-b08e-75fbdc8f96a9,2021-05-29,Hardcover Fiction,Hardcover Fiction,hardcover-fiction,2021-06-13,WEEKLY
1,2,2,4,0,0,1501171348,9781501171345,Simon & Schuster,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.,0.00,THE LAST THING HE TOLD ME,Laura Dave,by Laura Dave,,https://storage.googleapis.com/du-prd/books/images/9781501171345.jpg,331,500,https://www.amazon.com/dp/1501171348?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1501171348', 'isbn13': '9781501171345'}, {'isbn10': '1501171364', 'isbn13': '9781501171369'}, {'isbn10': '1797124749', 'isbn13': '9781797124742'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1501171348?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=THE+LAST+THING+HE+TOLD+ME&author=Laura+Dave'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781501171345'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BLAST%252BTHING%252BHE%252BTOLD%252BME%252FLaura%252BDave%252F9781501171345&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BLAST%252BTHING%252BHE%252BTOLD%252BME%252BLaura%252BDave'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781501171345&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DTHE%2BLAST%2BTHING%2BHE%2BTOLD%2BME'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781501171345%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BLAST%2BTHING%2BHE%2BTOLD%2BME%2BLaura%2BDave%26aff%3DNYT'}]",nyt://book/b38ae769-e873-5272-bb5a-c58a35162db1,2021-05-29,Hardcover Fiction,Hardcover Fiction,hardcover-fiction,2021-06-13,WEEKLY
2,3,1,5,0,0,0385547684,9780385547680,Doubleday,Samuel Sooleymon receives a basketball scholarship to North Carolina Central and determines to bring his family over from a civil war-ravaged South Sudan.,0.00,SOOLEY,John Grisham,by John Grisham,,https://storage.googleapis.com/du-prd/books/images/9780385547680.jpg,342,500,https://www.amazon.com/dp/0385547684?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0385547684', 'isbn13': '9780385547680'}, {'isbn10': '0385547714', 'isbn13': '9780385547710'}, {'isbn10': '0593459288', 'isbn13': '9780593459287'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0385547684?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=SOOLEY&author=John+Grisham'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780385547680'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FSOOLEY%252FJohn%252BGrisham%252F9780385547680&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DSOOLEY%252BJohn%252BGrisham'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780385547680&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DSOOLEY'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780385547680%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DSOOLEY%2BJohn%2BGrisham%26aff%3DNYT'}]",nyt://book/010af0b7-2a30-598f-97f5-1ed63c3426e1,2021-05-29,Hardcover Fiction,Hardcover Fiction,hardcover-fiction,2021-06-13,WEEKLY
3,4,3,4,0,0,0593135202,9780593135204,Ballantine,"Ryland Grace awakes from a long sleep alone and far from home, and the fate of humanity rests on his shoulders.",0.00,PROJECT HAIL MARY,Andy Weir,by Andy Weir,,https://storage.googleapis.com/du-prd/books/images/9780593135204.jpg,331,500,https://www.amazon.com/dp/0593135202?tag=NYTBSREV-20,,https://www.nytimes.com/2021/05/04/books/review/andy-weir-project-hail-mary.html,,,,"[{'isbn10': '0593135202', 'isbn13': '9780593135204'}, {'isbn10': '0593135210', 'isbn13': '9780593135211'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0593135202?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=PROJECT+HAIL+MARY&author=Andy+Weir'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593135204'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FPROJECT%252BHAIL%252BMARY%252FAndy%252BWeir%252F9780593135204&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DPROJECT%252BHAIL%252BMARY%252BAndy%252BWeir'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780593135204&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DPROJECT%2BHAIL%2BMARY'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780593135204%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DPROJECT%2BHAIL%2BMARY%2BAndy%2BWeir%26aff%3DNYT'}]",nyt://book/36c6314a-7962-511c-b4c8-7927200740af,2021-05-29,Hardcover Fiction,Hardcover Fiction,hardcover-fiction,2021-06-13,WEEKLY
4,5,4,3,0,0,0385546572,9780385546577,Doubleday,"When Justice Wynn slips into a coma, his law clerk, Avery Keene, must unravel the clues of a controversial case.",0.00,WHILE JUSTICE SLEEPS,Stacey Abrams,by Stacey Abrams,,https://storage.googleapis.com/du-prd/books/images/9780385546577.jpg,333,500,https://www.amazon.com/dp/0385546572?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0385546572', 'isbn13': '9780385546577'}, {'isbn10': '0593501764', 'isbn13': '9780593501764'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0385546572?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=WHILE+JUSTICE+SLEEPS&author=Stacey+Abrams'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780385546577'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FWHILE%252BJUSTICE%252BSLEEPS%252FStacey%252BAbrams%252F9780385546577&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DWHILE%252BJUSTICE%252BSLEEPS%252BStacey%252BAbrams'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780385546577&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DWHILE%2BJUSTICE%2BSLEEPS'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780385546577%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DWHILE%2BJUSTICE%2BSLEEPS%2BStacey%2BAbrams%26aff%3DNYT'}]",nyt://book/cef54ed8-224a-5c72-989c-96b413c287d0,2021-05-29,Hardcover Fiction,Hardcover Fiction,hardcover-fiction,2021-06-13,WEEKLY
5,6,7,26,0,0,0525559477,9780525559474,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,0.00,THE MIDNIGHT LIBRARY,Matt Haig,by Matt Haig,,https://storage.googleapis.com/du-prd/books/images/9780525559474.jpg,331,500,https://www.amazon.com/dp/0525559477?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0525559477', 'isbn13': '9780525559474'}, {'isbn10': '0525559485', 'isbn13': '9780525559481'}, {'isbn10': '0655697071', 'isbn13': '9780655697077'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0525559477?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=THE+MIDNIGHT+LIBRARY&author=Matt+Haig'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780525559474'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BMIDNIGHT%252BLIBRARY%252FMatt%252BHaig%252F9780525559474&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BMIDNIGHT%252BLIBRARY%252BMatt%252BHaig'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780525559474&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DTHE%2BMIDNIGHT%2BLIBRARY'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780525559474%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BMIDNIGHT%2BLIBRARY%2BMatt%2BHaig%26aff%3DNYT'}]",nyt://book/60d0ee2d-3d05-50c9-a484-050d17a2308e,2021-05-29,Hardcover Fiction,Hardcover Fiction,hardcover-fiction,2021-06-13,WEEKLY
6,7,6,9,0,0,059346527X,9780593465271,Viking,"The poem read on President Joe Biden's Inauguration Day, by the youngest poet to write and perform an inaugural poem.",0.00,THE HILL WE CLIMB,Amanda Gorman,by Amanda Gorman,,https://storage.googleapis.com/du-prd/books/images/9780593465271.jpg,362,500,https://www.amazon.com/dp/059346527X?tag=NYTBSREV-20,,,,,,"[{'isbn10': '059346527X', 'isbn13': '9780593465271'}, {'isbn10': '0593465288', 'isbn13': '9780593465288'}, {'isbn10': '1644734362', 'isbn13': '9781644734360'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/059346527X?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=THE+HILL+WE+CLIMB&author=Amanda+Gorman'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593465271'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BHILL%252BWE%252BCLIMB%252FAmanda%252BGorman%252F9780593465271&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BHILL%252BWE%252BCLIMB%252BAmanda%252BGorman'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780593465271&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DTHE%2BHILL%2BWE%2BCLIMB'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780593465271%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BHILL%2BWE%2BCLIMB%2BAmanda%2BGorman%26aff%3DNYT'}]",nyt://book/a95afb91-235c-578c-847a-a98d0af7b6a0,2021-05-29,Hardcover Fiction,Hardcover Fiction,hardcover-fiction,2021-06-13,WEEKLY
7,8,8,3,0,0,1501133543,9781501133541,Atria,Daisy Shoemaker receives emails intended for a woman leading a more glamorous life and finds there was more to this accident.,0.00,THAT SUMMER,Jennifer Weiner,by Jennifer Weiner,,https://storage.googleapis.com/du-prd/books/images/9781501133541.jpg,331,500,https://www.amazon.com/dp/1501133543?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1501133543', 'isbn13': '9781501133541'}, {'isbn10': '150113356X', 'isbn13': '9781501133565'}, {'isbn10': '1797122096', 'isbn13': '9781797122090'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1501133543?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=THAT+SUMMER&author=Jennifer+Weiner'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781501133541'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHAT%252BSUMMER%252FJennifer%252BWeiner%252F9781501133541&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHAT%252BSUMMER%252BJennifer%252BWeiner'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781501133541&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DTHAT%2BSUMMER'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781501133541%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHAT%2BSUMMER%2BJennifer%2BWeiner%26aff%3DNYT'}]",nyt://book/4c340a7c-4bb0-540b-be7f-1ec8550d197d,2021-05-29,Hardcover Fiction,Hardcover Fiction,hardcover-fiction,2021-06-13,WEEKLY
8,9,0,1,0,0,0593191226,9780593191224,Putnam,The 12th book in the Isaac Bell Adventure series. An assassination attempt reveals a deeper plot at the Panama Canal.,0.00,THE SABOTEURS,Clive Cussler and Jack Du Brul,by Clive Cussler and Jack Du Brul,,https://storage.googleapis.com/du-prd/books/images/9780593191224.jpg,331,500,https://www.amazon.com/dp/0593191226?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0593191226', 'isbn13': '9780593191224'}, {'isbn10': '0593191234', 'isbn13': '9780593191231'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0593191226?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=THE+SABOTEURS&author=Clive+Cussler+and+Jack+Du+Brul'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593191224'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BSABOTEURS%252FClive%252BCussler%252Band%252BJack%252BDu%252BBrul%252F9780593191224&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BSABOTEURS%252BClive%252BCussler%252Band%252BJack%252BDu%252BBrul'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780593191224&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DTHE%2BSABOTEURS'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780593191224%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BSABOTEURS%2BClive%2BCussler%2Band%2BJack%2BDu%2BBrul%26aff%3DNYT'}]",nyt://book/f324cd1a-46d1-5527-86a7-7d2839821e0c,2021-05-29,Hardcover Fiction,Hardcover Fiction,hardcover-fiction,2021-06-13,WEEKLY
9,10,5,4,0,0,031649934X,9780316499347,"Little, Brown",The 21st book in the Women’s Murder Club series. New evidence changes the investigation of a missing mother.,0.00,21ST BIRTHDAY,James Patterson and Maxine Paetro,by James Patterson and Maxine Paetro,,https://storage.googleapis.com/du-prd/books/images/9780316499347.jpg,324,500,https://www.amazon.com/dp/031649934X?tag=NYTBSREV-20,,,,,,"[{'isbn10': '031649934X', 'isbn13': '9780316499347'}, {'isbn10': '0759555699', 'isbn13': '9780759555693'}, {'isbn10': '0316499366', 'isbn13': '9780316499361'}, {'isbn10': '1549135457', 'isbn13': '9781549135453'}, {'isbn10': '1549135449', 'isbn13': '9781549135446'}, {'isbn10': '1549112619', 'isbn13': '9781549112614'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/031649934X?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=21ST+BIRTHDAY&author=James+Patterson+and+Maxine+Paetro'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780316499347'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252F21ST%252BBIRTHDAY%252FJames%252BPatterson%252Band%252BMaxine%252BPaetro%252F9780316499347&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253D21ST%252BBIRTHDAY%252BJames%252BPatterson%252Band%252BMaxine%252BPaetro'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780316499347&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3D21ST%2BBIRTHDAY'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780316499347%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3D21ST%2BBIRTHDAY%2BJames%2BPatterson%2Band%2BMaxine%2BPaetro%26aff%3DNYT'}]",nyt://book/aa2486a9-4ecb-5f14-8cd9-4f501581f2ee,2021-05-29,Hardcover Fiction,Hardcover Fiction,hardcover-fiction,2021-06-13,WEEKLY
